img_name,folder,markerType,img_start_seconds,img_end_seconds,marker_loc_secs,marker_loc_samples,marker_relToImg
fig002.png,Sub1,seg,30,59.99609375,7.029616724738676,9480,311
fig002.png,Sub1,seg,30,59.99609375,23.989547038327526,13821,960
fig002.png,Sub1,seg,30,59.99609375,26.106271777003485,14363,1041
fig002.png,Sub1,seg,30,59.99609375,27.04703832752613,14604,1077
fig002.png,Sub1,seg,30,59.99609375,27.778745644599304,14791,1105
fig003.png,Sub1,seg,60,89.99609375,0.5226480836236934,15494,62
fig004.png,Sub1,seg,90,119.99609375,5.2526132404181185,24385,243
fig005.png,Sub1,seg,120,149.99609375,24.930313588850176,37102,996
fig007.png,Sub1,seg,180,209.99609375,0.8362369337979094,46294,74
fig007.png,Sub1,seg,180,209.99609375,6.820557491289199,47826,303
fig007.png,Sub1,seg,180,209.99609375,21.010452961672474,51459,846
fig007.png,Sub1,seg,180,209.99609375,22.05574912891986,51726,886
fig007.png,Sub1,seg,180,209.99609375,14.16376306620209,49706,584
fig007.png,Sub1,seg,180,209.99609375,8.074912891986063,48147,351
fig008.png,Sub1,seg,210,239.99609375,27.831010452961674,60885,1107
fig009.png,Sub1,seg,240,269.99609375,1.7770034843205575,61895,110
fig010.png,Sub1,seg,270,299.99609375,3.423344947735192,69996,173
fig010.png,Sub1,seg,270,299.99609375,13.876306620209059,72672,573
fig010.png,Sub1,seg,270,299.99609375,26.001742160278745,75776,1037
fig011.png,Sub1,seg,300,329.99609375,26.73344947735192,83644,1065
fig013.png,Sub1,seg,360,389.99609375,9.642857142857142,94629,411
fig013.png,Sub1,seg,360,389.99609375,16.22822299651568,96314,663
fig013.png,Sub1,seg,360,389.99609375,15.339721254355402,96087,629
fig013.png,Sub1,seg,360,389.99609375,29.242160278745644,99646,1161
fig013.png,Sub1,seg,360,389.99609375,8.806620209059233,94414,379
fig014.png,Sub1,seg,390,419.99609375,2.848432055749129,100569,151
fig014.png,Sub1,seg,390,419.99609375,3.3710801393728222,100703,171
fig014.png,Sub1,seg,390,419.99609375,1.9337979094076656,100335,116
fig014.png,Sub1,seg,390,419.99609375,10.766550522648084,102596,454
fig014.png,Sub1,seg,390,419.99609375,11.681184668989546,102830,489
fig014.png,Sub1,seg,390,419.99609375,13.745644599303136,103359,568
fig014.png,Sub1,seg,390,419.99609375,18.214285714285715,104503,739
fig014.png,Sub1,seg,390,419.99609375,21.062717770034844,105232,848
fig014.png,Sub1,seg,390,419.99609375,22.55226480836237,105613,905
fig014.png,Sub1,seg,390,419.99609375,16.750871080139373,104128,683
fig014.png,Sub1,seg,390,419.99609375,11.184668989547038,102703,470
fig023.png,Sub1,seg,660,689.99609375,1.5679442508710801,169361,102
fig023.png,Sub1,seg,660,689.99609375,4.36411149825784,170077,209
fig023.png,Sub1,seg,660,689.99609375,15.966898954703833,173048,653
fig024.png,Sub1,seg,690,719.99609375,20.174216027874564,181805,814
