img_name,folder,markerType,img_start_seconds,img_end_seconds,marker_loc_secs,marker_loc_samples,marker_relToImg
fig002.png,Sub1,seg,30,59.99609375,7.055749128919861,9486,312
fig002.png,Sub1,seg,30,59.99609375,11.81184668989547,10704,494
fig002.png,Sub1,seg,30,59.99609375,7.369337979094077,9567,324
fig002.png,Sub1,seg,30,59.99609375,22.865853658536587,13534,917
fig002.png,Sub1,seg,30,59.99609375,24.06794425087108,13841,963
fig002.png,Sub1,seg,30,59.99609375,25.087108013937282,14102,1002
fig003.png,Sub1,seg,60,89.99609375,0.5226480836236934,15494,62
fig003.png,Sub1,seg,60,89.99609375,11.106271777003485,18203,467
fig004.png,Sub1,seg,90,119.99609375,5.331010452961673,24405,246
fig004.png,Sub1,seg,90,119.99609375,21.37630662020906,28512,860
fig004.png,Sub1,seg,90,119.99609375,23.937282229965156,29168,958
fig005.png,Sub1,seg,120,149.99609375,21.61149825783972,36253,869
fig005.png,Sub1,seg,120,149.99609375,22.65679442508711,36520,909
fig005.png,Sub1,seg,120,149.99609375,24.51219512195122,36995,980
fig005.png,Sub1,seg,120,149.99609375,24.12020905923345,36895,965
fig005.png,Sub1,seg,120,149.99609375,24.878048780487806,37089,994
fig005.png,Sub1,seg,120,149.99609375,25.29616724738676,37196,1010
fig006.png,Sub1,seg,150,179.99609375,0.8101045296167247,38607,73
fig006.png,Sub1,seg,150,179.99609375,2.926829268292683,39149,154
fig006.png,Sub1,seg,150,179.99609375,4.468641114982579,39544,213
fig006.png,Sub1,seg,150,179.99609375,25.426829268292682,44909,1015
fig006.png,Sub1,seg,150,179.99609375,26.31533101045296,45137,1049
fig006.png,Sub1,seg,150,179.99609375,27.04703832752613,45324,1077
fig007.png,Sub1,seg,180,209.99609375,0.8623693379790941,46301,75
fig007.png,Sub1,seg,180,209.99609375,5.644599303135888,47525,258
fig007.png,Sub1,seg,180,209.99609375,6.872822299651568,47839,305
fig007.png,Sub1,seg,180,209.99609375,8.048780487804878,48140,350
fig007.png,Sub1,seg,180,209.99609375,8.38850174216028,48227,363
fig007.png,Sub1,seg,180,209.99609375,9.094076655052264,48408,390
fig007.png,Sub1,seg,180,209.99609375,9.433797909407666,48495,403
fig007.png,Sub1,seg,180,209.99609375,13.013937282229966,49412,540
fig007.png,Sub1,seg,180,209.99609375,14.189895470383275,49713,585
fig007.png,Sub1,seg,180,209.99609375,21.036585365853657,51465,847
fig007.png,Sub1,seg,180,209.99609375,22.05574912891986,51726,886
fig007.png,Sub1,seg,180,209.99609375,24.773519163763066,52422,990
fig007.png,Sub1,seg,180,209.99609375,22.99651567944251,51967,922
fig008.png,Sub1,seg,210,239.99609375,1.4634146341463414,54135,98
fig008.png,Sub1,seg,210,239.99609375,2.2473867595818815,54335,128
fig008.png,Sub1,seg,210,239.99609375,2.3257839721254356,54355,131
fig008.png,Sub1,seg,210,239.99609375,23.414634146341463,59754,938
fig008.png,Sub1,seg,210,239.99609375,24.721254355400696,60089,988
fig008.png,Sub1,seg,210,239.99609375,26.916376306620208,60651,1072
fig008.png,Sub1,seg,210,239.99609375,27.804878048780488,60878,1106
fig008.png,Sub1,seg,210,239.99609375,26.0801393728223,60437,1040
