filename,epochNum,blockNum,annotatorID
e7-b2-01-04-0004-smp947251.png,7,2,Lauren
e6-b2-01-04-0004-smp945001.png,6,2,Lauren
e9-b2-01-04-0004-smp951751.png,9,2,Lauren
e8-b2-01-04-0004-smp949501.png,8,2,Lauren
e10-b2-01-04-0004-smp954001.png,10,2,Lauren
e12-b3-01-04-0004-smp1122251.png,12,3,Lauren
e11-b3-01-04-0004-smp1120001.png,11,3,Lauren
e14-b3-01-04-0004-smp1126751.png,14,3,Lauren
e13-b3-01-04-0004-smp1124501.png,13,3,Lauren
e15-b3-01-04-0004-smp1129001.png,15,3,Lauren
e2-b1-01-04-0001-smp436251.png,2,1,Lauren
e1-b1-01-04-0001-smp434001.png,1,1,Lauren
e4-b1-01-04-0001-smp440751.png,4,1,Lauren
e3-b1-01-04-0001-smp438501.png,3,1,Lauren
e5-b1-01-04-0001-smp443001.png,5,1,Lauren
e7-b2-01-04-0001-smp1030251.png,7,2,Lauren
e6-b2-01-04-0001-smp1028001.png,6,2,Lauren
e9-b2-01-04-0001-smp1034751.png,9,2,Lauren
e8-b2-01-04-0001-smp1032501.png,8,2,Lauren
e10-b2-01-04-0001-smp1037001.png,10,2,Lauren
e17-b4-01-04-0001-smp1583251.png,17,4,Lauren
e16-b4-01-04-0001-smp1581001.png,16,4,Lauren
e19-b4-01-04-0001-smp1587751.png,19,4,Lauren
e18-b4-01-04-0001-smp1585501.png,18,4,Lauren
e20-b4-01-04-0001-smp1590001.png,20,4,Lauren
e12-b3-01-04-0001-smp1118251.png,12,3,Lauren
e11-b3-01-04-0001-smp1116001.png,11,3,Lauren
e14-b3-01-04-0001-smp1122751.png,14,3,Lauren
e13-b3-01-04-0001-smp1120501.png,13,3,Lauren
e15-b3-01-04-0001-smp1125001.png,15,3,Lauren
e12-b3-01-04-0039-smp747451.png,12,3,Lauren
e11-b3-01-04-0039-smp745201.png,11,3,Lauren
e14-b3-01-04-0039-smp751951.png,14,3,Lauren
e13-b3-01-04-0039-smp749701.png,13,3,Lauren
e15-b3-01-04-0039-smp754201.png,15,3,Lauren
e2-b1-01-04-0039-smp299251.png,2,1,Lauren
e1-b1-01-04-0039-smp297001.png,1,1,Lauren
e4-b1-01-04-0039-smp303751.png,4,1,Lauren
e3-b1-01-04-0039-smp301501.png,3,1,Lauren
e5-b1-01-04-0039-smp306001.png,5,1,Lauren
e17-b4-01-04-0039-smp1047251.png,17,4,Lauren
e16-b4-01-04-0039-smp1045001.png,16,4,Lauren
e19-b4-01-04-0039-smp1051751.png,19,4,Lauren
e18-b4-01-04-0039-smp1049501.png,18,4,Lauren
e20-b4-01-04-0039-smp1054001.png,20,4,Lauren
e7-b2-01-04-0039-smp347851.png,7,2,Lauren
e6-b2-01-04-0039-smp345601.png,6,2,Lauren
e9-b2-01-04-0039-smp352351.png,9,2,Lauren
e8-b2-01-04-0039-smp350101.png,8,2,Lauren
e10-b2-01-04-0039-smp354601.png,10,2,Lauren
e17-b4-01-04-0004-smp1633251.png,17,4,Lauren
e16-b4-01-04-0004-smp1631001.png,16,4,Lauren
e19-b4-01-04-0004-smp1637751.png,19,4,Lauren
e18-b4-01-04-0004-smp1635501.png,18,4,Lauren
e20-b4-01-04-0004-smp1640001.png,20,4,Lauren
e2-b1-01-04-0004-smp924251.png,2,1,Lauren
e1-b1-01-04-0004-smp922001.png,1,1,Lauren
e4-b1-01-04-0004-smp928751.png,4,1,Lauren
e3-b1-01-04-0004-smp926501.png,3,1,Lauren
e5-b1-01-04-0004-smp931001.png,5,1,Lauren
e7-b2-01-04-0004-smp947251.png,7,2,simon
e6-b2-01-04-0004-smp945001.png,6,2,simon
e9-b2-01-04-0004-smp951751.png,9,2,simon
e8-b2-01-04-0004-smp949501.png,8,2,simon
e10-b2-01-04-0004-smp954001.png,10,2,simon
e12-b3-01-04-0004-smp1122251.png,12,3,simon
e11-b3-01-04-0004-smp1120001.png,11,3,simon
e14-b3-01-04-0004-smp1126751.png,14,3,simon
e13-b3-01-04-0004-smp1124501.png,13,3,simon
e15-b3-01-04-0004-smp1129001.png,15,3,simon
e2-b1-01-04-0001-smp436251.png,2,1,simon
e1-b1-01-04-0001-smp434001.png,1,1,simon
e4-b1-01-04-0001-smp440751.png,4,1,simon
e3-b1-01-04-0001-smp438501.png,3,1,simon
e5-b1-01-04-0001-smp443001.png,5,1,simon
e7-b2-01-04-0001-smp1030251.png,7,2,simon
e6-b2-01-04-0001-smp1028001.png,6,2,simon
e9-b2-01-04-0001-smp1034751.png,9,2,simon
e8-b2-01-04-0001-smp1032501.png,8,2,simon
