Set4_names,Set4_startSample,Set4_endSample
Sub4/fig001.png,7680,15359
Sub4/fig002.png,15360,23039
Sub4/fig003.png,23040,30719
Sub4/fig004.png,30720,38399
Sub4/fig005.png,38400,46079
Sub4/fig006.png,46080,53759
Sub4/fig007.png,53760,61439
Sub4/fig008.png,61440,69119
Sub4/fig009.png,69120,76799
Sub4/fig010.png,76800,84479
Sub4/fig011.png,84480,92159
Sub4/fig012.png,92160,99839
Sub4/fig013.png,99840,107519
Sub4/fig014.png,107520,115199
Sub4/fig015.png,115200,122879
Sub4/fig016.png,122880,130559
Sub4/fig017.png,130560,138239
Sub4/fig018.png,138240,145919
Sub4/fig019.png,145920,153599
Sub4/fig020.png,153600,161279
Sub4/fig021.png,161280,168959
Sub4/fig022.png,168960,176639
Sub4/fig023.png,176640,184319
Sub4/fig024.png,184320,191999
Sub4/fig025.png,192000,199679
Sub4/fig026.png,199680,207359
Sub4/fig027.png,207360,215039
Sub4/fig028.png,215040,222719
Sub4/fig029.png,222720,230399
Sub4/fig030.png,230400,238079
Sub4/fig031.png,238080,245759
Sub4/fig032.png,245760,253439
Sub4/fig033.png,253440,261119
Sub4/fig034.png,261120,268799
Sub4/fig035.png,268800,276479
Sub4/fig036.png,276480,284159
Sub4/fig037.png,284160,291839
Sub4/fig038.png,291840,299519
Sub4/fig039.png,299520,307199
Sub4/fig040.png,307200,314879
Sub4/fig041.png,314880,322559
Sub4/fig042.png,322560,330239
Sub4/fig043.png,330240,337919
Sub4/fig044.png,337920,345599
Sub4/fig045.png,345600,353279
Sub4/fig046.png,353280,360959
Sub4/fig047.png,360960,368639
Sub4/fig048.png,368640,376319
Sub4/fig049.png,376320,383999
Sub4/fig050.png,384000,391679
Sub4/fig051.png,391680,399359
Sub4/fig052.png,399360,407039
Sub4/fig053.png,407040,414719
Sub4/fig054.png,414720,422399
Sub4/fig055.png,422400,430079
