Set1_names,Set1_startSample,Set1_endSample
Sub1/fig001.png,7680,15359
Sub1/fig002.png,15360,23039
Sub1/fig003.png,23040,30719
Sub1/fig004.png,30720,38399
Sub1/fig005.png,38400,46079
Sub1/fig006.png,46080,53759
Sub1/fig007.png,53760,61439
Sub1/fig008.png,61440,69119
Sub1/fig009.png,69120,76799
Sub1/fig010.png,76800,84479
Sub1/fig011.png,84480,92159
Sub1/fig012.png,92160,99839
Sub1/fig013.png,99840,107519
Sub1/fig014.png,107520,115199
Sub1/fig015.png,115200,122879
Sub1/fig016.png,122880,130559
Sub1/fig017.png,130560,138239
Sub1/fig018.png,138240,145919
Sub1/fig019.png,145920,153599
Sub1/fig020.png,153600,161279
Sub1/fig021.png,161280,168959
Sub1/fig022.png,168960,176639
Sub1/fig023.png,176640,184319
Sub1/fig024.png,184320,191999
Sub1/fig025.png,192000,199679
Sub1/fig026.png,199680,207359
Sub1/fig027.png,207360,215039
Sub1/fig028.png,215040,222719
Sub1/fig029.png,222720,230399
Sub1/fig030.png,230400,238079
Sub1/fig031.png,238080,245759
Sub1/fig032.png,245760,253439
Sub1/fig033.png,253440,261119
Sub1/fig034.png,261120,268799
Sub1/fig035.png,268800,276479
Sub1/fig036.png,276480,284159
Sub1/fig037.png,284160,291839
Sub1/fig038.png,291840,299519
Sub1/fig039.png,299520,307199
Sub1/fig040.png,307200,314879
Sub1/fig041.png,314880,322559
Sub1/fig042.png,322560,330239
Sub1/fig043.png,330240,337919
Sub1/fig044.png,337920,345599
Sub1/fig045.png,345600,353279
Sub1/fig046.png,353280,360959
Sub1/fig047.png,360960,368639
Sub1/fig048.png,368640,376319
Sub1/fig049.png,376320,383999
