Set5_names,Set5_startSample,Set5_endSample
Sub5/fig001.png,7680,15359
Sub5/fig002.png,15360,23039
Sub5/fig003.png,23040,30719
Sub5/fig004.png,30720,38399
Sub5/fig005.png,38400,46079
Sub5/fig006.png,46080,53759
Sub5/fig007.png,53760,61439
Sub5/fig008.png,61440,69119
Sub5/fig009.png,69120,76799
Sub5/fig010.png,76800,84479
Sub5/fig011.png,84480,92159
Sub5/fig012.png,92160,99839
Sub5/fig013.png,99840,107519
Sub5/fig014.png,107520,115199
Sub5/fig015.png,115200,122879
Sub5/fig016.png,122880,130559
Sub5/fig017.png,130560,138239
Sub5/fig018.png,138240,145919
Sub5/fig019.png,145920,153599
Sub5/fig020.png,153600,161279
Sub5/fig021.png,161280,168959
Sub5/fig022.png,168960,176639
Sub5/fig023.png,176640,184319
Sub5/fig024.png,184320,191999
Sub5/fig025.png,192000,199679
Sub5/fig026.png,199680,207359
Sub5/fig027.png,207360,215039
Sub5/fig028.png,215040,222719
Sub5/fig029.png,222720,230399
Sub5/fig030.png,230400,238079
Sub5/fig031.png,238080,245759
Sub5/fig032.png,245760,253439
Sub5/fig033.png,253440,261119
Sub5/fig034.png,261120,268799
Sub5/fig035.png,268800,276479
Sub5/fig036.png,276480,284159
Sub5/fig037.png,284160,291839
Sub5/fig038.png,291840,299519
Sub5/fig039.png,299520,307199
Sub5/fig040.png,307200,314879
Sub5/fig041.png,314880,322559
Sub5/fig042.png,322560,330239
Sub5/fig043.png,330240,337919
Sub5/fig044.png,337920,345599
Sub5/fig045.png,345600,353279
Sub5/fig046.png,353280,360959
Sub5/fig047.png,360960,368639
Sub5/fig048.png,368640,376319
Sub5/fig049.png,376320,383999
Sub5/fig050.png,384000,391679
Sub5/fig051.png,391680,399359
Sub5/fig052.png,399360,407039
Sub5/fig053.png,407040,414719
Sub5/fig054.png,414720,422399
Sub5/fig055.png,422400,430079
Sub5/fig056.png,430080,437759
Sub5/fig057.png,437760,445439
Sub5/fig058.png,445440,453119
Sub5/fig059.png,453120,460799
Sub5/fig060.png,460800,468479
Sub5/fig061.png,468480,476159
Sub5/fig062.png,476160,483839
Sub5/fig063.png,483840,491519
Sub5/fig064.png,491520,499199
Sub5/fig065.png,499200,506879
Sub5/fig066.png,506880,514559
Sub5/fig067.png,514560,522239
Sub5/fig068.png,522240,529919
Sub5/fig069.png,529920,537599
Sub5/fig070.png,537600,545279
Sub5/fig071.png,545280,552959
Sub5/fig072.png,552960,560639
Sub5/fig073.png,560640,568319
Sub5/fig074.png,568320,575999
Sub5/fig075.png,576000,583679
